Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Sanity,Chrome 114.0.0.0,,,2023-07-09 01:34:37,2023-07-09 01:39:21,4m - 43.670s,PASSED
,,,,,,,
Test Cases/Sanity/SIQ-TC-12402,Chrome 114.0.0.0,,,2023-07-09 01:34:38,2023-07-09 01:36:55,2m - 17.395s,PASSED
"callTestCase(findTestCase(""Login Logout/Login""), [:], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-07-09 01:34:39,2023-07-09 01:35:10,31.176s,PASSED
delay(6),Chrome 114.0.0.0,,,2023-07-09 01:35:10,2023-07-09 01:35:16,6.008s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/New Folder/Page_SalesIQ Home  Salesforce/span_Quota Refinement""), 10)",Chrome 114.0.0.0,,,2023-07-09 01:35:16,2023-07-09 01:35:16,0.434s,PASSED
"click(findTestObject(""Object Repository/New Folder/Page_SalesIQ Home  Salesforce/span_Quota Refinement""), STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-07-09 01:35:16,2023-07-09 01:35:17,0.521s,PASSED
"click(findTestObject(""Object Repository/New Folder/Page_SalesIQ Home  Salesforce/span_Quota Refinement""))",Chrome 114.0.0.0,,,2023-07-09 01:35:17,2023-07-09 01:35:18,0.848s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/New Folder/Page_Lightning Experience  Salesforce/button_Show All""), 10)",Chrome 114.0.0.0,,,2023-07-09 01:35:18,2023-07-09 01:35:24,6.477s,PASSED
"rightClick(findTestObject(""Object Repository/New Folder/Page_Lightning Experience  Salesforce/button_Show All""))",Chrome 114.0.0.0,,,2023-07-09 01:35:24,2023-07-09 01:35:26,1.863s,PASSED
"click(findTestObject(""Object Repository/New Folder/Page_Lightning Experience  Salesforce/button_New Folder""))",Chrome 114.0.0.0,,,2023-07-09 01:35:26,2023-07-09 01:35:28,1.760s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/New Folder/Page_Lightning Experience  Salesforce/div_Name""), 10)",Chrome 114.0.0.0,,,2023-07-09 01:35:28,2023-07-09 01:35:28,0.505s,PASSED
"setText(findTestObject(""Object Repository/New Folder/Page_Lightning Experience  Salesforce/input_Name_FolderName""), QL)",Chrome 114.0.0.0,,,2023-07-09 01:35:28,2023-07-09 01:35:31,3.321s,PASSED
"click(findTestObject(""Object Repository/New Folder/Page_Lightning Experience  Salesforce/input_Name_slds-button slds-button_brand""))",Chrome 114.0.0.0,,,2023-07-09 01:35:31,2023-07-09 01:35:33,1.190s,PASSED
"click(findTestObject(""Object Repository/New Folder/Page_Lightning Experience  Salesforce/button_12345""))",Chrome 114.0.0.0,,,2023-07-09 01:35:33,2023-07-09 01:35:37,4.023s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/New Folder/Page_Lightning Experience  Salesforce/button_New Quota Refinement""), 0)",Chrome 114.0.0.0,,,2023-07-09 01:35:37,2023-07-09 01:35:38,0.925s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/New Folder/Page_Lightning Experience  Salesforce/button_New Quota Refinement""), 0)",Chrome 114.0.0.0,,,2023-07-09 01:35:38,2023-07-09 01:35:38,0.790s,PASSED
"click(findTestObject(""Object Repository/New Folder/Page_Lightning Experience  Salesforce/button_New Quota Refinement""))",Chrome 114.0.0.0,,,2023-07-09 01:35:38,2023-07-09 01:35:39,0.610s,PASSED
"click(findTestObject(""Object Repository/New Folder/Page_Lightning Experience  Salesforce/lightning-spinner_Loading""))",Chrome 114.0.0.0,,,2023-07-09 01:35:39,2023-07-09 01:35:39,0.002s,NOT_RUN
"click(findTestObject(""Object Repository/New Folder/Page_Lightning Experience  Salesforce/input_Name_quotaName""))",Chrome 114.0.0.0,,,2023-07-09 01:35:39,2023-07-09 01:35:39,0.001s,NOT_RUN
now = new java.util.Date(),Chrome 114.0.0.0,,,2023-07-09 01:35:39,2023-07-09 01:35:39,0.017s,PASSED
"val = now.format(""yyyy-mm-dd HH:mm:s"")",Chrome 114.0.0.0,,,2023-07-09 01:35:39,2023-07-09 01:35:39,0.004s,PASSED
"println(""Test"" + val)",Chrome 114.0.0.0,,,2023-07-09 01:35:39,2023-07-09 01:35:39,0.006s,PASSED
Nameof = val,Chrome 114.0.0.0,,,2023-07-09 01:35:39,2023-07-09 01:35:39,0.001s,PASSED
"println(""GVB"" + Nameof)",Chrome 114.0.0.0,,,2023-07-09 01:35:39,2023-07-09 01:35:39,0.001s,PASSED
"setText(findTestObject(""Object Repository/New Folder/Page_Lightning Experience  Salesforce/input_Name_quotaName""), val)",Chrome 114.0.0.0,,,2023-07-09 01:35:39,2023-07-09 01:35:39,0.001s,NOT_RUN
"setText(findTestObject(""Object Repository/New Folder/Page_Lightning Experience  Salesforce/input_Name_quotaName""), val)",Chrome 114.0.0.0,,,2023-07-09 01:35:39,2023-07-09 01:35:42,2.628s,PASSED
delay(8),Chrome 114.0.0.0,,,2023-07-09 01:35:42,2023-07-09 01:35:50,8.010s,PASSED
"click(findTestObject(""Object Repository/New Folder/Page_Lightning Experience  Salesforce/lightning-spinner_Loading""))",Chrome 114.0.0.0,,,2023-07-09 01:35:50,2023-07-09 01:35:50,0.468s,PASSED
"click(findTestObject(""Object Repository/New Folder/Page_Lightning Experience  Salesforce/div_Business UnitBusiness UnitVacAllergybuB_99ca2d""))",Chrome 114.0.0.0,,,2023-07-09 01:35:50,2023-07-09 01:35:50,0.001s,NOT_RUN
"click(findTestObject(""Object Repository/New Folder/Page_Lightning Experience  Salesforce/button_Select Business Unit""))",Chrome 114.0.0.0,,,2023-07-09 01:35:50,2023-07-09 01:35:51,0.853s,PASSED
"click(findTestObject(""Object Repository/New Folder/Page_Lightning Experience  Salesforce/span_Vac""))",Chrome 114.0.0.0,,,2023-07-09 01:35:51,2023-07-09 01:35:52,0.629s,PASSED
"click(findTestObject(""Object Repository/New Folder/Page_Lightning Experience  Salesforce/button_Select Team""))",Chrome 114.0.0.0,,,2023-07-09 01:35:52,2023-07-09 01:35:53,0.894s,PASSED
"click(findTestObject(""Object Repository/New Folder/Page_Lightning Experience  Salesforce/span_Alpha""))",Chrome 114.0.0.0,,,2023-07-09 01:35:53,2023-07-09 01:35:53,0.596s,PASSED
"click(findTestObject(""Object Repository/New Folder/Page_Lightning Experience  Salesforce/div_ProductSelect ProductAllCRESMBAGARDASIL_ddc9a7""))",Chrome 114.0.0.0,,,2023-07-09 01:35:53,2023-07-09 01:35:53,0.001s,NOT_RUN
delay(8),Chrome 114.0.0.0,,,2023-07-09 01:35:53,2023-07-09 01:36:01,8.013s,PASSED
"click(findTestObject(""Object Repository/New Folder/Page_Lightning Experience  Salesforce/button_Select Product""))",Chrome 114.0.0.0,,,2023-07-09 01:36:01,2023-07-09 01:36:02,0.457s,PASSED
"click(findTestObject(""Object Repository/New Folder/Page_Lightning Experience  Salesforce/span_GARDASIL""))",Chrome 114.0.0.0,,,2023-07-09 01:36:02,2023-07-09 01:36:02,0.485s,PASSED
"click(findTestObject(""Object Repository/New Folder/Page_Lightning Experience  Salesforce/button_Select Time Period""))",Chrome 114.0.0.0,,,2023-07-09 01:36:02,2023-07-09 01:36:03,0.579s,PASSED
"click(findTestObject(""Object Repository/New Folder/Page_Lightning Experience  Salesforce/span_Daily""))",Chrome 114.0.0.0,,,2023-07-09 01:36:03,2023-07-09 01:36:03,0.807s,PASSED
"setText(findTestObject(""Object Repository/New Folder/Page_Lightning Experience  Salesforce/input_Date_date""), ""7/4/2004"")",Chrome 114.0.0.0,,,2023-07-09 01:36:03,2023-07-09 01:36:04,0.902s,PASSED
delay(5),Chrome 114.0.0.0,,,2023-07-09 01:36:04,2023-07-09 01:36:09,5.009s,PASSED
"click(findTestObject(""Object Repository/New Folder/Page_Lightning Experience  Salesforce/button_Cancel and close""))",Chrome 114.0.0.0,,,2023-07-09 01:36:09,2023-07-09 01:36:10,0.600s,PASSED
"click(findTestObject(""Object Repository/New Folder/Page_Lightning Experience  Salesforce/button_Cancel and close""))",Chrome 114.0.0.0,,,2023-07-09 01:36:10,2023-07-09 01:36:11,1.286s,PASSED
delay(5),Chrome 114.0.0.0,,,2023-07-09 01:36:11,2023-07-09 01:36:16,5.016s,PASSED
"click(findTestObject(""Object Repository/New Folder/Page_Lightning Experience  Salesforce/input_Super Admin Integration_roster-group""))",Chrome 114.0.0.0,,,2023-07-09 01:36:16,2023-07-09 01:36:17,0.518s,PASSED
delay(8),Chrome 114.0.0.0,,,2023-07-09 01:36:17,2023-07-09 01:36:25,8.007s,PASSED
"click(findTestObject(""Object Repository/New Folder/Page_Lightning Experience  Salesforce/button_Save""))",Chrome 114.0.0.0,,,2023-07-09 01:36:25,2023-07-09 01:36:25,0.577s,PASSED
"click(findTestObject(""Object Repository/New Folder/Page_Lightning Experience  Salesforce/button_Next""))",Chrome 114.0.0.0,,,2023-07-09 01:36:25,2023-07-09 01:36:26,0.625s,PASSED
"click(findTestObject(""Object Repository/New Folder/Page_Lightning Experience  Salesforce/button_Next_1""))",Chrome 114.0.0.0,,,2023-07-09 01:36:26,2023-07-09 01:36:51,24.542s,PASSED
"click(findTestObject(""Object Repository/New Folder/Page_Lightning Experience  Salesforce/button_Generate Cycle""))",Chrome 114.0.0.0,,,2023-07-09 01:36:51,2023-07-09 01:36:55,4.572s,PASSED
,,,,,,,
